Run_Number Number_of_Events Sampled_Luminosity Prescale Livetime
15115076 78672 2.81503525311721 1.00000000 0.874658128210259
15115077 63921 2.30971859287912 1.00000000 0.877541494487994
15115078 61086 2.19396616375467 1.00000000 0.879390763560981
15115079 46867 1.68824779536541 1.00000000 0.607589193113462
15115080 50500 1.81307154432635 1.00000000 0.678635740586449
15115081 9689 0.34653379727445 1.00000000 0.507149470219113
15115082 60377 2.16228400428237 1.00000000 0.695903131408558
15115083 50685 1.77641115295106 1.00000000 0.729540487692662
15115084 45688 1.62955431064975 1.00000000 0.761466666666667
15115085 46584 1.66798442378323 1.00000000 0.794514940646746
15115086 44848 1.59535320794296 1.00000000 0.796123053982568
15115087 25882 0.910765223999461 1.00000000 0.803539273517541
15115088 6300 0.221330362350451 1.00000000 0.618556701030928
15116002 120950 3.98905917450999 1.00000000 0.813695810123517
15116003 122246 4.12684254322998 1.00000000 0.783872167433987
15116004 105074 3.63161588309386 1.00000000 0.781696584661851
15116005 74453 2.60769577176601 1.00000000 0.802753727883382
15116015 129175 4.21641071410385 1.00000000 0.821635064910283
15116016 111920 3.73289396008558 1.00000000 0.739709459102205
15116017 102892 3.52088246585177 1.00000000 0.730894626558227
15116018 89969 3.14008736045623 1.00000000 0.752016516629471
15116019 88698 3.15141403571638 1.00000000 0.75856908288578
15116020 83965 3.00977121178898 1.00000000 0.796421704662771
15116021 20453 0.73971883558871 1.00000000 0.764855465390225
15116026 74044 2.68700547712408 1.00000000 0.851325093417649
15116029 57555 2.10608020414306 1.00000000 0.806996634885025
15116032 40246 1.48243816837878 1.00000000 0.542450096370278
15116033 39958 1.45426556699843 1.00000000 0.560900630272744
15116034 49870 1.82335124810713 1.00000000 0.734336577680267
15116035 11117 0.404627020862842 1.00000000 0.53654374822258
15116036 39695 1.4328770089446 1.00000000 0.61428350355927
15116037 39281 1.43561906605026 1.00000000 0.64482820887437
15116038 0 0 1.00000000 0
15116039 44470 1.6168106329072 1.00000000 0.769502257746406
15116040 41685 1.50899840117475 1.00000000 0.757179445261839
15116041 42777 1.55183432162489 1.00000000 0.819639777735198
15116042 29248 1.0638168576693 1.00000000 0.8214446191867
15116047 82635 2.78104950954406 1.00000000 0.774717341983387
15116048 116831 4.01010196983544 1.00000000 0.782057545963818
15116049 111196 3.89733230258544 1.00000000 0.793837239174493
15116050 100555 3.58228992406588 1.00000000 0.785661267765199
15116051 30053 1.07358009396869 1.00000000 0.757796362537156
15116052 92150 3.302712280155 1.00000000 0.846049346453224
15116054 85262 3.08287785287324 1.00000000 0.835181412115038
15116055 82444 2.97491649628135 1.00000000 0.844628166907418
15116056 77978 2.81024846857737 1.00000000 0.848493079246431
15116057 91270 3.3182492682031 1.00000000 0.883911018139206
15116058 64096 2.34129991617215 1.00000000 0.875442166650733
15116059 50882 1.84347981809996 1.00000000 0.662396667317581
15116060 48821 1.77989678882628 1.00000000 0.716302067285825
15116061 49452 1.81024287985357 1.00000000 0.714758552907338
15116062 49294 1.79582526537346 1.00000000 0.74144154984658
15116068 32064 1.17072217593571 1.00000000 0.658303734576139
15117002 53580 1.94696753911343 1.00000000 0.881617429594821
15117003 37758 1.36314306870824 1.00000000 0.802849245162662
15117004 35980 1.31065378661799 1.00000000 0.76773711725168
15117005 21134 0.765876834898693 1.00000000 0.81001111494385
15117024 48195 1.54961753407108 1.00000000 0.817446317717697
15117050 21716 0.702739805062366 1.00000000 0.774796631939489
15117051 127742 4.28065979178778 1.00000000 0.82788465270321
15117052 124425 4.26469459916345 1.00000000 0.802229543710791
15117053 89439 1.44566716846909 1.00000000 0.354865971527877
15117054 101517 3.5922637087063 1.00000000 0.859907841908215
15117055 90490 3.20988417650497 1.00000000 0.865743752630975
15117056 78448 2.8430616219672 1.00000000 0.847179775159559
15117057 39124 1.41041878862403 1.00000000 0.862372985959576
15117058 54586 1.97018270044442 1.00000000 0.636709318465468
15117059 52493 1.92341309182569 1.00000000 0.673470696910602
15117060 55876 2.04841186826186 1.00000000 0.680397934830257
15117061 54212 1.99664409267215 1.00000000 0.676761750202859
15117062 50444 1.85320928160804 1.00000000 0.650697830405283
15117063 50632 1.84212486119054 1.00000000 0.68375422012154
15117064 50999 1.85806264520502 1.00000000 0.725451985035775
15117065 55502 1.99809518505686 1.00000000 0.731062551863121
15117066 51237 1.86721211356307 1.00000000 0.768885620816951
15117067 48735 1.77044062424744 1.00000000 0.773325928276738
15117068 47600 1.70591144317394 1.00000000 0.78883696264625
15117069 48964 1.74988142903756 1.00000000 0.789054694298514
15117070 43436 1.54859260098505 1.00000000 0.814750900360144
15118002 13754 0.435469918514538 1.00000000 0.557577180420237
15118003 120267 3.90697370263668 1.00000000 0.810513192034235
15118004 118773 3.95138235552738 1.00000000 0.774084646567343
15118005 103880 3.54422247509087 1.00000000 0.797016756777484
15118006 103918 3.58213398538002 1.00000000 0.839174391937724
15118007 91085 3.21863995959612 1.00000000 0.817807985490721
15118008 86492 3.06755639579463 1.00000000 0.832867927435196
15118009 82247 2.93508891218731 1.00000000 0.862019452479772
15118011 78069 2.7783668471683 1.00000000 0.884454162323832
15118013 73969 2.64873839647685 1.00000000 0.878376934129745
15118014 45133 1.62910015995821 1.00000000 0.875552882750058
15118015 51300 1.8429917622868 1.00000000 0.685581407780614
15118016 49690 1.80273537495314 1.00000000 0.69030187683203
15118017 50805 1.81716917287563 1.00000000 0.732518238703538
15118018 54123 1.9383822339757 1.00000000 0.784880432733443
15118019 47954 1.69963237185967 1.00000000 0.767669329405926
15118020 47244 1.68918291659582 1.00000000 0.814242873392851
15118021 43838 1.57242186318539 1.00000000 0.796460820115914
15118022 42911 1.524863978948 1.00000000 0.81455960516325
15118023 39612 1.40391476038662 1.00000000 0.779533602282791
15118024 18459 0.65684256737938 1.00000000 0.827832092564356
15118052 110528 3.67295159205957 1.00000000 0.779815995936107
15118053 117255 3.95929939580926 1.00000000 0.834703683929525
15118054 123353 4.22487497501678 1.00000000 0.809293872971927
15118055 95270 3.29525293755688 1.00000000 0.810629137382366
15118056 97824 3.44562145692328 1.00000000 0.838677320347731
15118057 81752 2.91598722657615 1.00000000 0.842586962123164
15118058 78976 2.82561985297482 1.00000000 0.862155169590516
15118059 64312 2.31122167170957 1.00000000 0.851228293096146
15118060 46679 1.68313596327231 1.00000000 0.875417276171186
15118061 1137 0.0426508234613591 1.00000000 0.23120985939941
15118062 3629 0.132330990264734 1.00000000 0.289393939393939
15118063 3950 0.14360476261987 1.00000000 0.659542494573385
15118064 28571 1.0318024025084 1.00000000 0.631779195073675
15118065 46233 1.66268263551157 1.00000000 0.671961978402105
15118066 50640 1.83624495539253 1.00000000 0.727924794089321
15119008 48771 1.7829678915725 1.00000000 0.767704267908851
15119009 29483 1.07374432848421 1.00000000 0.759323168847224
15119010 21968 0.793979824337925 1.00000000 0.70765960188108
15119011 46064 1.66854133342058 1.00000000 0.789037341555327
15119012 45544 1.63855824921255 1.00000000 0.820441690384408
15119013 45122 1.60289636059262 1.00000000 0.836103544758834
15119014 39571 1.4126687418748 1.00000000 0.801145911363958
15119015 16723 0.593870697743103 1.00000000 0.799569686827636
15119018 126467 4.1137319177307 1.00000000 0.833128017971133
15119019 111333 3.71794574878357 1.00000000 0.794832620599553
15119020 111303 3.7794097793745 1.00000000 0.821921753385813
15119021 101077 3.49025690275193 1.00000000 0.834230204189432
15119022 101217 3.5486115166459 1.00000000 0.83561971737982
15119023 108057 3.82967858775066 1.00000000 0.847811759536774
15119024 100279 3.56113495121294 1.00000000 0.874388553192602
15119025 57825 2.04528387946456 1.00000000 0.595738981723776
15119026 60662 2.16941075967383 1.00000000 0.657882179420441
15119027 62568 2.24020289610004 1.00000000 0.717934595524957
15119028 13407 0.483573986999455 1.00000000 0.63495145631068
15119029 51042 1.84161244165063 1.00000000 0.716761220019098
15119031 63290 2.28757427253136 1.00000000 0.760380123984814
15119032 30505 1.10570926379083 1.00000000 0.76167290886392
15119034 47987 1.7168872822569 1.00000000 0.757514049378039
15119035 51538 1.8477725411483 1.00000000 0.800615164742982
15119036 39210 1.39574221241977 1.00000000 0.803504098360656
15119042 5 3.63774959446779e-06 1.00000000 1.25723633805275e-06
15119043 96391 3.15379826729283 1.00000000 0.844771828961552
15119045 113525 3.72314173131811 1.00000000 0.812933670363979
15119046 91745 3.05178999968696 1.00000000 0.825025853154085
15119049 106587 3.62296101972247 1.00000000 0.81006087597565
15119051 101019 3.50733224197734 1.00000000 0.802210804672548
15119052 92725 3.30702975949629 1.00000000 0.835428097773693
15119053 88343 3.16309563342547 1.00000000 0.851949354393882
15119054 84600 3.08301244745152 1.00000000 0.859748785593789
15119055 62462 2.27577009531341 1.00000000 0.842605448687705
